id,label,summary
bray.v.03,bray||bray.v.03,laugh loudly and harshly
bellylaugh.v.01,bellylaugh||bellylaugh.v.01,"laugh a deep, hearty laugh"
roar.v.06,roar||roar.v.06,laugh unrestrainedly and heartily
snicker.v.01,snicker||snicker.v.01,laugh quietly
giggle.v.01,giggle||giggle.v.01,laugh nervously
break_up.v.19,break_up||break_up.v.19,laugh unrestrainedly
break.v.59,break||break.v.59,weaken or destroy in spirit or body
break_down.v.08,break_down||break_down.v.08,"collapse due to fatigue, an illness, or a sudden attack"
drop_like_flies.v.01,drop_like_flies||drop_like_flies.v.01,"rapidly collapse, die, or drop out in large numbers"
cramp.v.04,cramp||cramp.v.04,suffer from sudden painful contraction of a muscle
cramp.v.03,cramp||cramp.v.03,affect with or as if with a cramp
fall_over.v.01,fall_over||fall_over.v.01,fall forward and down
cackle.v.03,cackle||cackle.v.03,"emit a loud, unpleasant kind of laughing"
guffaw.v.01,guffaw||guffaw.v.01,laugh boisterously
chuckle.v.01,chuckle||chuckle.v.01,laugh quietly or with restraint
laugh.v.01,laugh||laugh.v.01,produce laughter
convulse.v.02,convulse||convulse.v.02,be overcome with laughter
cachinnate.v.01,cachinnate||cachinnate.v.01,laugh loudly and in an unrestrained way
sneer.v.02,sneer||sneer.v.02,smile contemptuously
sneer.v.01,sneer||sneer.v.01,express through a scornful smile
frown.v.01,frown||frown.v.01,"look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
glower.v.01,glower||glower.v.01,look at with a fixed gaze
stare.v.02,stare||stare.v.02,fixate one's eyes
look.v.03,look||look.v.03,have a certain outward or facial expression
scowl.v.01,scowl||scowl.v.01,frown with displeasure
shrug.v.01,shrug||shrug.v.01,raise one's shoulders to indicate indifference or resignation
clap.v.04,clap||clap.v.04,clap one's hands together
grimace.v.01,grimace||grimace.v.01,contort the face to indicate a certain mental or emotional state
screw_up.v.04,screw_up||screw_up.v.04,twist into a strained configuration
pout.v.02,pout||pout.v.02,make a sad face and thrust out one's lower lip
blow.v.03,blow||blow.v.03,free of obstruction by blowing air through
clear_the_throat.v.01,clear_the_throat||clear_the_throat.v.01,clear mucus or food from one's throat
shower.v.03,shower||shower.v.03,take a shower; wash one's body in the shower
foment.v.02,foment||foment.v.02,bathe with warm water or medicated lotions
bathe.v.01,bathe||bathe.v.01,cleanse the entire body
cleanse.v.01,cleanse||cleanse.v.01,"clean one's body or parts thereof, as by washing"
wash.v.13,wash||wash.v.13,to cleanse (itself or another animal) by licking
wash.v.02,wash||wash.v.02,cleanse (one's body) with soap and water
sponge_down.v.02,sponge_down||sponge_down.v.02,wash with a sponge
scrub.v.02,scrub||scrub.v.02,wash thoroughly
soap.v.01,soap||soap.v.01,"rub soap all over, usually with the purpose of cleaning"
gargle.v.02,gargle||gargle.v.02,rinse one's mouth and throat with mouthwash
shave.v.01,shave||shave.v.01,remove body hair with a razor
epilate.v.01,epilate||epilate.v.01,remove body hair
razor.v.01,razor||razor.v.01,shave with a razor
tonsure.v.01,tonsure||tonsure.v.01,shave the head of a newly inducted monk
bathe.v.03,bathe||bathe.v.03,clean one's body by immersion into water
douche.v.01,douche||douche.v.01,"direct a spray of water into a bodily cavity, for cleaning"
comb.v.03,comb||comb.v.03,smoothen and neaten with or as with a comb
slick.v.02,slick||slick.v.02,give a smooth and glossy appearance
dress.v.16,dress||dress.v.16,arrange attractively
bob.v.05,bob||bob.v.05,cut hair in the style of a bob
pompadour.v.01,pompadour||pompadour.v.01,style women's hair in a pompadour
marcel.v.01,marcel||marcel.v.01,make a marcel in a woman's hair
wave.v.05,wave||wave.v.05,set waves in
gauffer.v.01,gauffer||gauffer.v.01,make wavy with a heated goffering iron
perm.v.01,perm||perm.v.01,give a permanent wave to
mousse.v.01,mousse||mousse.v.01,apply a styling gel to
pomade.v.01,pomade||pomade.v.01,apply pomade to (hair)
tease.v.09,tease||tease.v.09,"ruffle (one's hair) by combing the ends towards the scalp, for a full effect"
groom.v.03,groom||groom.v.03,care for one's external appearance
clean_up.v.04,clean_up||clean_up.v.04,"make oneself clean, presentable or neat"
make_up.v.09,make_up||make_up.v.09,apply make-up or cosmetics to one's face to appear prettier
highlight.v.02,highlight||highlight.v.02,apply a highlighter to one's cheeks or eyebrows in order to make them more prominent
lipstick.v.02,lipstick||lipstick.v.02,apply lipstick to
rouge.v.01,rouge||rouge.v.01,redden by applying rouge to
condition.v.05,condition||condition.v.05,apply conditioner to in order to make smooth and shiny
floss.v.01,floss||floss.v.01,use dental floss to clean
shampoo.v.01,shampoo||shampoo.v.01,use shampoo on (hair)
powder.v.02,powder||powder.v.02,apply powder to
talc.v.01,talc||talc.v.01,apply talcum powder to (one's body)
manicure.v.02,manicure||manicure.v.02,"care for (one's hand) by cutting and shaping the nails, etc."
manicure.v.01,manicure||manicure.v.01,trim carefully and neatly
barber.v.01,barber||barber.v.01,perform the services of a barber: cut the hair and/or beard of
pedicure.v.01,pedicure||pedicure.v.01,"care for one's feet by cutting and shaping the nails, etc."
doll_up.v.01,doll_up||doll_up.v.01,"use special care in dressing, making-up, etc."
spruce_up.v.02,spruce_up||spruce_up.v.02,"dress and groom with particular care, as for a special occasion"
perfume.v.02,perfume||perfume.v.02,apply perfume to
preen.v.03,preen||preen.v.03,dress or groom with elaborate care
prank.v.02,prank||prank.v.02,dress up showily
tart_up.v.02,tart_up||tart_up.v.02,dress up in a cheap and provocative way
overdress.v.02,overdress||overdress.v.02,put on special clothes to appear particularly appealing and attractive
dress.v.04,dress||dress.v.04,dress in a certain manner
enrobe.v.02,enrobe||enrobe.v.02,adorn with a robe
prim.v.03,prim||prim.v.03,dress primly
bedizen.v.02,bedizen||bedizen.v.02,dress up garishly and tastelessly
dress_down.v.02,dress_down||dress_down.v.02,dress informally and casually
prink.v.01,prink||prink.v.01,dress very carefully and in a finicky manner
dress.v.15,dress||dress.v.15,give a neat appearance to
reduce.v.20,reduce||reduce.v.20,take off weight
sweat_off.v.01,sweat_off||sweat_off.v.01,lose weight by sweating
gain.v.09,gain||gain.v.09,increase (one's body weight)
round.v.07,round||round.v.07,"become round, plump, or shapely"
dress.v.01,dress||dress.v.01,put on clothes
bundle_up.v.02,bundle_up||bundle_up.v.02,dress warmly
hat.v.01,hat||hat.v.01,put on or wear a hat
try_on.v.01,try_on||try_on.v.01,put on a garment in order to see whether it fits and looks nice
bonnet.v.01,bonnet||bonnet.v.01,dress in a bonnet
wear.v.05,wear||wear.v.05,have or show an appearance of
wear.v.02,wear||wear.v.02,have on one's person
dress.v.02,dress||dress.v.02,provide with clothes or put clothes on
cover.v.26,cover||cover.v.26,"clothe, as if for protection from the elements"
jacket.v.02,jacket||jacket.v.02,put a jacket on
frock.v.01,frock||frock.v.01,put a frock on
shirt.v.01,shirt||shirt.v.01,put a shirt on
habit.v.01,habit||habit.v.01,put a habit on
vesture.v.01,vesture||vesture.v.01,provide or cover with a cloak
overdress.v.01,overdress||overdress.v.01,dress too warmly
underdress.v.01,underdress||underdress.v.01,dress without sufficient warmth
corset.v.01,corset||corset.v.01,dress with a corset
shoe.v.01,shoe||shoe.v.01,furnish with shoes
undress.v.01,undress||undress.v.01,get undressed
peel_off.v.02,peel_off||peel_off.v.02,"take off, as with some difficulty"
take_off.v.06,take_off||take_off.v.06,remove clothes
wear.v.09,wear||wear.v.09,put clothing on one's body
scarf.v.03,scarf||scarf.v.03,wrap in or adorn with a scarf
slip_on.v.01,slip_on||slip_on.v.01,put on with ease or speed
slip_off.v.01,slip_off||slip_off.v.01,take off with ease or speed
coat.v.02,coat||coat.v.02,cover or provide with a coat
cross-dress.v.01,cross-dress||cross-dress.v.01,dress in the clothes of the other sex
costume.v.01,costume||costume.v.01,dress in a costume
dandify.v.01,dandify||dandify.v.01,dress like a dandy
vest.v.05,vest||vest.v.05,clothe formally; especially in ecclesiastical robes
vest.v.04,vest||vest.v.04,clothe oneself in ecclesiastical garments
wear.v.01,wear||wear.v.01,be dressed in
inseminate.v.02,inseminate||inseminate.v.02,introduce semen into (a female)
stratify.v.05,stratify||stratify.v.05,render fertile and preserve by placing between layers of earth or sand
quicken.v.04,quicken||quicken.v.04,show signs of life
impregnate.v.04,impregnate||impregnate.v.04,make pregnant
impregnate.v.03,impregnate||impregnate.v.03,fertilize and cause to grow
inoculate.v.05,inoculate||inoculate.v.05,impregnate with the virus or germ of a disease in order to render immune
cross-fertilize.v.02,cross-fertilize||cross-fertilize.v.02,cause to undergo cross-fertilization
cross-fertilize.v.01,cross-fertilize||cross-fertilize.v.01,undergo cross-fertilization; become fertile
pollinate.v.01,pollinate||pollinate.v.01,fertilize by transfering pollen
conceive.v.03,conceive||conceive.v.03,become pregnant; undergo conception
nick.v.04,nick||nick.v.04,mate successfully; of livestock
beget.v.01,beget||beget.v.01,make children
ejaculate.v.02,ejaculate||ejaculate.v.02,eject semen
reproduce.v.02,reproduce||reproduce.v.02,have offspring or produce more individuals of a given animal or plant
propagate.v.08,propagate||propagate.v.08,multiply sexually or asexually
vegetate.v.06,vegetate||vegetate.v.06,propagate asexually
propagate.v.07,propagate||propagate.v.07,"cause to propagate, as by grafting or layering"
inoculate.v.04,inoculate||inoculate.v.04,insert a bud for propagation
fructify.v.03,fructify||fructify.v.03,bear fruit
breed.v.04,breed||breed.v.04,have young (animals) or reproduce (organisms)
pullulate.v.05,pullulate||pullulate.v.05,breed freely and abundantly
spawn.v.02,spawn||spawn.v.02,lay spawn
spat.v.06,spat||spat.v.06,spawn
give_birth.v.01,give_birth||give_birth.v.01,cause to be born
lie_in.v.02,lie_in||lie_in.v.02,be in confinement for childbirth
labor.v.03,labor||labor.v.03,undergo the efforts of childbirth
twin.v.04,twin||twin.v.04,give birth to twins
drop.v.23,drop||drop.v.23,give birth; used for animals
foal.v.01,foal||foal.v.01,give birth to a foal
cub.v.01,cub||cub.v.01,give birth to cubs
kitten.v.01,kitten||kitten.v.01,have kittens
lamb.v.01,lamb||lamb.v.01,give birth to a lamb
litter.v.03,litter||litter.v.03,give birth to a litter of animals
whelp.v.01,whelp||whelp.v.01,birth
farrow.v.01,farrow||farrow.v.01,give birth
fawn.v.03,fawn||fawn.v.03,have fawns
calve.v.02,calve||calve.v.02,birth
have_a_bun_in_the_oven.v.01,have_a_bun_in_the_oven||have_a_bun_in_the_oven.v.01,be pregnant with
expect.v.05,expect||expect.v.05,look forward to the birth of a child
carry_to_term.v.01,carry_to_term||carry_to_term.v.01,carry out a pregnancy
miscarry.v.02,miscarry||miscarry.v.02,suffer a miscarriage
abort.v.03,abort||abort.v.03,terminate a pregnancy by undergoing an abortion
abort.v.02,abort||abort.v.02,"cease development, die, and be aborted"
brood.v.05,brood||brood.v.05,sit on (eggs)
alter.v.05,alter||alter.v.05,remove the ovaries of
defeminize.v.01,defeminize||defeminize.v.01,remove the ovaries of (female mammals such as cats)
emasculate.v.02,emasculate||emasculate.v.02,remove the testicles of a male animal
caponize.v.01,caponize||caponize.v.01,convert a cock into a capon
geld.v.01,geld||geld.v.01,cut off the testicles (of male animals such as horses)
vasectomize.v.01,vasectomize||vasectomize.v.01,remove the vas deferens
sterilize.v.02,sterilize||sterilize.v.02,make infertile
face-lift.v.01,face-lift||face-lift.v.01,perform cosmetic surgery on someone's face
trephine.v.01,trephine||trephine.v.01,operate on with a trephine
menstruate.v.01,menstruate||menstruate.v.01,undergo menstruation
ovulate.v.01,ovulate||ovulate.v.01,produce and discharge eggs
sterilize.v.01,sterilize||sterilize.v.01,make free from bacteria
antisepticize.v.01,antisepticize||antisepticize.v.01,disinfect with an antiseptic
autoclave.v.01,autoclave||autoclave.v.01,subject to the action of an autoclave
hatch.v.01,hatch||hatch.v.01,emerge from the eggs
irritate.v.02,irritate||irritate.v.02,"excite to an abnormal condition, or chafe or inflame"
inflame.v.05,inflame||inflame.v.05,become inflamed; get sore
inflame.v.01,inflame||inflame.v.01,cause inflammation in
soothe.v.02,soothe||soothe.v.02,cause to feel better
relieve.v.01,relieve||relieve.v.01,"provide physical relief, as from pain"
massage.v.02,massage||massage.v.02,give a massage to
hurt.v.02,hurt||hurt.v.02,give trouble or pain to
indispose.v.03,indispose||indispose.v.03,cause to feel unwell
suffer.v.06,suffer||suffer.v.06,feel pain or be in pain
have.v.12,have||have.v.12,suffer from; be ill with
be_well.v.01,be_well||be_well.v.01,be healthy; feel good
suffer.v.02,suffer||suffer.v.02,undergo (as of injuries and illnesses)
wail.v.02,wail||wail.v.02,cry weakly or softly
cry.v.02,cry||cry.v.02,"shed tears because of sadness, rage, or pain"
cry.v.07,cry||cry.v.07,bring into a particular state by crying
bawl.v.03,bawl||bawl.v.03,cry loudly
tear.v.05,tear||tear.v.05,fill with tears or shed tears
sob.v.01,sob||sob.v.01,weep convulsively
snivel.v.03,snivel||snivel.v.03,cry or whine with snuffling
sweat.v.01,sweat||sweat.v.01,excrete perspiration through the pores in the skin
superfetate.v.01,superfetate||superfetate.v.01,conceive when a fetus is already present in the uterus
exude.v.01,exude||exude.v.01,release (a liquid) in drops or small quantities
distill.v.05,distill||distill.v.05,give off (a liquid)
reek.v.03,reek||reek.v.03,"be wet with sweat or blood, as of one's face"
transpire.v.05,transpire||transpire.v.05,give off (water) through the skin
extravasate.v.03,extravasate||extravasate.v.03,"geology: cause molten material, such as lava, to pour forth"
stream.v.02,stream||stream.v.02,exude profusely
gum.v.04,gum||gum.v.04,exude or form gum
secrete.v.01,secrete||secrete.v.01,generate and separate from cells or bodily fluids
water.v.03,water||water.v.03,"secrete or form water, as tears or saliva"
swelter.v.02,swelter||swelter.v.02,suffer from intense heat
injure.v.01,injure||injure.v.01,cause injuries or bodily harm to
trample.v.02,trample||trample.v.02,injure by trampling or as if by trampling
concuss.v.02,concuss||concuss.v.02,injure the brain; sustain a concussion
calk.v.03,calk||calk.v.03,injure with a calk
trouble.v.05,trouble||trouble.v.05,cause bodily suffering to and make sick or indisposed
disagree_with.v.01,disagree_with||disagree_with.v.01,not be very easily digestible
torture.v.02,torture||torture.v.02,subject to torture
rack.v.11,rack||rack.v.11,torture on the rack
martyr.v.02,martyr||martyr.v.02,torture and torment like a martyr
pull.v.08,pull||pull.v.08,strain abnormally
make.v.49,make||make.v.49,eliminate urine
urinate.v.01,urinate||urinate.v.01,pass after the manner of urine
wet.v.02,wet||wet.v.02,make one's bed or clothes wet by urinating
stale.v.01,stale||stale.v.01,"urinate, of cattle and horses"
excrete.v.01,excrete||excrete.v.01,eliminate from the body
evacuate.v.05,evacuate||evacuate.v.05,excrete or discharge from the body
suction.v.02,suction||suction.v.02,empty or clean (a body cavity) by the force of suction
purge.v.07,purge||purge.v.07,excrete or evacuate (someone's bowels or body)
stool.v.04,stool||stool.v.04,have a bowel movement
dung.v.02,dung||dung.v.02,defecate; used of animals
constipate.v.02,constipate||constipate.v.02,cause to be constipated
obstipate.v.01,obstipate||obstipate.v.01,constipate severely
shed_blood.v.02,shed_blood||shed_blood.v.02,lose blood from one's body
tire.v.02,tire||tire.v.02,exhaust or get tired through overuse or great strain or stress
exhaust.v.01,exhaust||exhaust.v.01,wear out completely
frazzle.v.02,frazzle||frazzle.v.02,exhaust physically or emotionally
play.v.35,play||play.v.35,exhaust by allowing to pull on the line
overtire.v.01,overtire||overtire.v.01,tire excessively
tire.v.01,tire||tire.v.01,lose interest or become bored with something or somebody
vomit.v.01,vomit||vomit.v.01,eject the contents of the stomach through the mouth
spew.v.02,spew||spew.v.02,"eject or send out in large quantities, also metaphorical"
keep_down.v.03,keep_down||keep_down.v.03,manage not to throw up
gag.v.07,gag||gag.v.07,make an unsuccessful effort to vomit; strain to vomit
gag.v.06,gag||gag.v.06,cause to retch or choke
gag.v.05,gag||gag.v.05,struggle for breath; have insufficient oxygen intake
choke.v.04,choke||choke.v.04,constrict (someone's) throat and keep from breathing
freeze.v.03,freeze||freeze.v.03,be cold
swelter.v.01,swelter||swelter.v.01,be uncomfortably hot
suffer.v.08,suffer||suffer.v.08,feel unwell or uncomfortable
gnash.v.01,gnash||gnash.v.01,"grind together, of teeth"
ail.v.01,ail||ail.v.01,be ill or unwell
treat.v.03,treat||treat.v.03,provide treatment for
correct.v.08,correct||correct.v.08,treat a defect
insufflate.v.02,insufflate||insufflate.v.02,treat by blowing a powder or vapor into a bodily cavity
detox.v.01,detox||detox.v.01,treat for alcohol or drug dependence
irrigate.v.02,irrigate||irrigate.v.02,"supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting"
iodize.v.02,iodize||iodize.v.02,treat with iodine so as to prevent infection
doctor.v.02,doctor||doctor.v.02,give medical treatment to
vet.v.04,vet||vet.v.04,provide veterinary care for
vet.v.03,vet||vet.v.03,provide (a person) with medical care
nurse.v.01,nurse||nurse.v.01,"try to cure by special care of treatment, of an illness or injury"
manipulate.v.06,manipulate||manipulate.v.06,"treat manually, as with massage, for therapeutic purposed"
administer.v.04,administer||administer.v.04,give or apply (medications)
transfuse.v.04,transfuse||transfuse.v.04,"give a transfusion (e.g., of blood) to"
digitalize.v.02,digitalize||digitalize.v.02,administer digitalis such that the patient benefits maximally without getting adverse effects
bring_around.v.02,bring_around||bring_around.v.02,"provide a cure for, make healthy again"
help.v.02,help||help.v.02,improve the condition of
comfort.v.02,comfort||comfort.v.02,lessen pain or discomfort; alleviate
remedy.v.02,remedy||remedy.v.02,provide relief for
dress.v.14,dress||dress.v.14,apply a bandage or medication to
poultice.v.01,poultice||poultice.v.01,dress by covering with a therapeutic substance
bandage.v.02,bandage||bandage.v.02,dress by covering or binding
ligate.v.03,ligate||ligate.v.03,bind with a bandage or ligature
strap.v.04,strap||strap.v.04,secure (a sprained joint) with a strap
splint.v.01,splint||splint.v.01,support with a splint
operate_on.v.01,operate_on||operate_on.v.01,perform surgery on
venesect.v.01,venesect||venesect.v.01,practice venesection
medicate.v.02,medicate||medicate.v.02,"treat medicinally, treat with medicine"
medicate.v.01,medicate||medicate.v.01,impregnate with a medicinal substance
drug.v.01,drug||drug.v.01,administer a drug to
dope.v.03,dope||dope.v.03,give a narcotic to
soup.v.01,soup||soup.v.01,dope (a racehorse)
overdose.v.01,overdose||overdose.v.01,dose too heavily
narcotize.v.01,narcotize||narcotize.v.01,administer narcotics to
anoint.v.02,anoint||anoint.v.02,administer an oil or ointment to ; often in a religious ceremony of blessing
salve.v.02,salve||salve.v.02,"apply a salve to, usually for the purpose of healing"
bleed.v.02,bleed||bleed.v.02,draw blood
inject.v.01,inject||inject.v.01,give an injection to
infuse.v.05,infuse||infuse.v.05,"introduce into the body through a vein, for therapeutic purposes"
immunize.v.02,immunize||immunize.v.02,perform vaccinations or produce immunity in by inoculation
cup.v.03,cup||cup.v.03,treat by applying evacuated cups to the patient's skin
sicken.v.02,sicken||sicken.v.02,get sick
wan.v.01,wan||wan.v.01,become pale and sickly
contract.v.04,contract||contract.v.04,"be stricken by an illness, fall victim to an illness"
catch.v.19,catch||catch.v.19,contract
